#Types Before Cut: 11091
#Types After Cut: 9666
#Search Hits: 0
243	17	33.642	пошла
244	15	33.015	понял
245	15	33.015	поняла
246	28	32.954	таки
247	24	32.740	принципе
248	25	32.704	татьяна
249	49	32.404	всегда
250	12	31.906	берег
251	12	31.906	детстве
252	12	31.906	квартиру
253	12	31.906	круто
254	12	31.906	любят
255	12	31.906	поговорить
256	12	31.906	пятьдесят
257	12	31.906	смешно
258	34	31.506	голос
259	20	31.230	дочка
260	28	31.218	обычно
261	16	31.212	школа
262	36	30.953	две
263	21	30.919	хоть
264	21	30.919	язык
265	113	30.817	даже
266	14	30.490	любит
267	14	30.490	пятнадцать
268	17	30.135	давайте
269	18	29.455	дом
270	11	29.247	inan
271	11	29.247	давали
272	11	29.247	девочки
273	11	29.247	девяносто
274	11	29.247	здорово
275	11	29.247	кадра
276	11	29.247	кхм
277	11	29.247	понимаешь
278	11	29.247	расскажу
279	11	29.247	рассказчик
280	11	29.247	смеётся
281	11	29.247	смотри
282	11	29.247	соседка
283	11	29.247	училась
284	11	29.247	холодно
285	26	29.108	смысле
286	15	28.796	будешь
287	15	28.796	играть
288	21	28.647	жить
289	13	27.974	концерт
290	13	27.974	семья
291	13	27.974	спать
292	13	27.974	ходить
293	13	27.974	честно
294	16	27.811	видео
295	26	27.473	самое
296	156	27.240	или
297	17	27.208	моей
298	18	26.847	понимаю
299	19	26.652	младший
300	10	26.588	бывают
301	10	26.588	вкус
302	10	26.588	восемьдесят
303	10	26.588	дед
304	10	26.588	дедушка
305	10	26.588	ехать
306	10	26.588	забыл
307	10	26.588	иии
308	10	26.588	картинка
309	10	26.588	кашель
310	10	26.588	нуу
311	10	26.588	озеро
312	10	26.588	пол
313	10	26.588	прикольно
314	10	26.588	ребята
315	10	26.588	своё
316	10	26.588	слушай
317	10	26.588	смешок
318	10	26.588	собака
319	10	26.588	ушёл
320	14	26.396	домой
321	14	26.396	собственно
322	27	26.262	моя
323	15	25.506	ж
324	12	25.469	весело
325	12	25.469	делаю
326	12	25.469	купил
327	146	25.113	был
328	16	24.984	читать
329	16	24.984	языке
330	20	24.591	места
331	18	24.555	тему
332	19	24.531	н
333	19	24.531	слово
334	29	24.342	старший
335	13	24.014	какими
336	13	24.014	маленький
337	13	24.014	машина
338	9	23.929	n
339	9	23.929	ар
340	9	23.929	видишь
341	9	23.929	грустный
342	9	23.929	двенадцать
343	9	23.929	двести
344	9	23.929	кошки
345	9	23.929	папа
346	9	23.929	переехали
347	9	23.929	подожди
348	9	23.929	смесь
349	9	23.929	танцами
350	9	23.929	твой
351	9	23.929	учителя
352	9	23.929	чай
353	9	23.929	эмм
354	35	23.714	четыре
355	27	23.534	каждый
356	22	23.246	часов
357	14	23.223	d
358	14	23.223	вещи
359	14	23.223	мои
360	21	22.997	долго
361	11	22.977	знала
362	11	22.977	квартире
363	11	22.977	классно
364	50	22.822	день
365	28	22.705	совсем
366	16	22.562	девять
367	18	22.514	русский
368	39	21.973	людей
369	12	21.652	вдруг
370	12	21.652	нравятся
371	36	21.357	одна
372	8	21.270	acc
373	8	21.270	komm
374	8	21.270	nom
375	8	21.270	ааa
376	8	21.270	английский
377	8	21.270	брови
378	8	21.270	вертолет
379	8	21.270	говорящийа
380	8	21.270	говорящийб
381	8	21.270	грустно
382	8	21.270	делаешь
383	8	21.270	егэ
384	8	21.270	звук
385	8	21.270	иду
386	8	21.270	интересного
387	8	21.270	колесико
388	8	21.270	любишь
389	8	21.270	лёва
390	8	21.270	мамой
391	8	21.270	мемы
392	8	21.270	моих
393	8	21.270	надя
394	8	21.270	неудобно
395	8	21.270	никит
396	8	21.270	прихожу
397	8	21.270	смотрел
398	8	21.270	смотрела
399	8	21.270	студентов
